,,,,,,,,,,,,,
,,,,,"nuts, nut products and seeds",5/12/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/12/2018,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/12/2018,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/1/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",10/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/1/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",23/1/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",8/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/2/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",13/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/2/2019,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",22/2/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/2/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/2/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/2/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",1/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",14/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",15/3/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/3/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",29/3/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",17/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/4/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",20/5/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",20/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",21/5/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/5/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",29/5/2019,border rejection,border control - consignment under customs,Italy,,product allowed to travel to destination under customs seals,serious,Sudan
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",11/6/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/7/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",24/7/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/7/2019,border rejection,border control - consignment detained,Poland,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",31/7/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/8/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",22/8/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",4/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",5/9/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",9/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",16/9/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",16/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",19/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",20/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/9/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",27/9/2019,border rejection,border control - consignment detained,Greece,,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",30/9/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",30/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",30/9/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",31/10/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",31/10/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",31/10/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",6/11/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",6/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",7/11/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",12/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",25/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",26/11/2019,border rejection,border control - consignment detained,Greece,re-dispatch,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",28/11/2019,border rejection,border control - consignment detained,Greece,import not authorised,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",29/11/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,"nuts, nut products and seeds",31/12/2019,border rejection,border control - consignment detained,Greece,physical/chemical treatment,product not (yet) placed on the market,serious,Sudan
,,,,,fish and fish products,23/3/2000,information,,France,,,undecided,Tanzania
,,,,,fish and fish products,14/6/2002,information,,Greece,import not authorised,,undecided,Tanzania
,,,,,fish and fish products,24/9/2002,information,,Italy,import not authorised,,undecided,Tanzania
,,,,,fish and fish products,28/7/2003,information,border control - consignment released,Italy,,,undecided,Tanzania
,,,,,fish and fish products,23/11/2004,information,border control - consignment released,Germany,no action taken,product already consumed,undecided,Tanzania
,,,,,fish and fish products,14/9/2009,information,border control - consignment released,Italy,return to consignor,no distribution,undecided,Tanzania
,,,,,fish and fish products,12/10/2009,border rejection,border control - consignment detained,Germany,re-dispatch or destruction,no distribution,undecided,Tanzania
,,,,,fish and fish products,4/6/2014,information for follow-up,border control - consignment released,Germany,informing authorities,distribution to other member countries,not serious,Tanzania
,,,,,fish and fish products,12/5/2016,information for follow-up,border control - consignment released,Germany,,distribution to other member countries,not serious,Tanzania
,,,,,molluscs and products thereof - (obsolete),11/2/2005,information,border control - consignment detained,Italy,re-dispatch,no distribution,undecided,Tanzania
,,,,,molluscs and products thereof - (obsolete),25/4/2005,information,border control - consignment detained,Portugal,re-dispatch,no distribution,undecided,Tanzania
,,,,,"nuts, nut products and seeds",30/1/2019,border rejection,border control - consignment detained,Greece,official detention,product not (yet) placed on the market,serious,Tanzania
,,,,,fish and fish products,14/3/2005,alert,border control - consignment released,Italy,re-dispatch,distribution on the market (possible),undecided,Tunisia
,,,,,molluscs and products thereof - (obsolete),23/11/1999,information,,Italy,import not authorised,,undecided,Tunisia
,,,,,crustaceans and products thereof,12/10/2000,information,,Italy,import not authorised,,undecided,Tunisia
,,,,,poultry meat and poultry meat products,19/10/2000,information,,Italy,import not authorised,,undecided,Tunisia
,,,,,poultry meat and poultry meat products,23/1/2002,information,,Italy,import not authorised,,undecided,Tunisia
,,,,,molluscs and products thereof - (obsolete),20/12/2002,information,,Italy,,,undecided,Tunisia
,,,,,molluscs and products thereof - (obsolete),3/3/2003,information,border control - consignment detained,Italy,Screening sample,,undecided,Tunisia
,,,,,bivalve molluscs and products thereof,8/11/2007,information,border control - consignment released,Italy,withdrawal from recipient(s),product past use-by date,undecided,Tunisia
,,,,,poultry meat and poultry meat products,15/2/2010,information,border control - consignment released,Italy,recall from consumers,distribution restricted to notifying country,undecided,Tunisia
,,,,,gastropods,20/4/2010,information,official control on the market,Italy,withdrawal from the market,distribution restricted to notifying country,undecided,Tunisia
,,,,,bivalve molluscs and products thereof,15/11/2011,information for attention,border control - consignment released,Italy,informing authorities,product already consumed,undecided,Tunisia
,,,,,meat and meat products (other than poultry),19/2/2014,information for attention,border control - consignment released,Italy,informing authorities,distribution restricted to notifying country,undecided,Tunisia
,,,,,bivalve molluscs and products thereof,23/12/2015,information for attention,border control - consignment released,Portugal,,distribution restricted to notifying country,serious,Tunisia
,,,,,bivalve molluscs and products thereof,15/2/2016,information for attention,border control - consignment released,Italy,informing authorities,distribution restricted to notifying country,serious,Tunisia
,,,,,bivalve molluscs and products thereof,23/5/2016,border rejection,border control - consignment detained,Italy,destruction,product not (yet) placed on the market,serious,Tunisia
,,,,,fish and fish products,18/1/2010,information,border control - consignment released,Germany,destination of the product identified,distribution on the market (possible),undecided,Uganda
,,,,,herbs and spices,13/12/2011,alert,official control on the market,Denmark,withdrawal from the market,distribution to other member countries,undecided,Uganda
,,,,,herbs and spices,4/6/2013,border rejection,border control - consignment detained,Finland,placed under customs seals,product not (yet) placed on the market,serious,Uganda
,,,,,herbs and spices,4/6/2013,border rejection,border control - consignment detained,Finland,,product not (yet) placed on the market,serious,Uganda
,,,,,fruits and vegetables,11/5/2016,border rejection,border control - consignment detained,Finland,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",17/8/2016,alert,company's own check,Netherlands,withdrawal from the market,distribution to other member countries,serious,Uganda
,,,,,"nuts, nut products and seeds",19/8/2016,alert,company's own check,Netherlands,withdrawal from the market,distribution to other member countries,serious,Uganda
,,,,,"nuts, nut products and seeds",19/8/2016,alert,company's own check,Netherlands,withdrawal from the market,distribution to other member countries,serious,Uganda
,,,,,"nuts, nut products and seeds",16/3/2018,border rejection,border control - consignment detained,Netherlands,import not authorised,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",1/8/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",3/8/2018,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",20/8/2018,border rejection,border control - consignment detained,Germany,import not authorised,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",20/8/2018,border rejection,border control - consignment detained,Germany,import not authorised,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",21/8/2018,border rejection,border control - consignment detained,Germany,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",15/1/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",27/3/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",2/5/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",8/5/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",14/5/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",21/5/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",3/6/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",5/6/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",5/6/2019,border rejection,border control - consignment detained,Germany,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",18/6/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",19/6/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",27/6/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",1/7/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",8/7/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",8/7/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",10/7/2019,border rejection,border control - consignment detained,Germany,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,herbs and spices,7/8/2019,alert,official control on the market,United Kingdom,recall from consumers,distribution to other member countries,serious,Uganda
,,,,,"nuts, nut products and seeds",29/8/2019,border rejection,border control - consignment detained,Netherlands,official detention,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",18/11/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",24/12/2019,border rejection,border control - consignment detained,Netherlands,physical/chemical treatment,product not (yet) placed on the market,serious,Uganda
,,,,,"nuts, nut products and seeds",30/12/2019,border rejection,border control - consignment detained,Germany,re-dispatch,product not (yet) placed on the market,serious,Uganda
,,,,,meat and meat products (other than poultry),17/7/2018,information for follow-up,official control on the market,Netherlands,informing consignor,distribution to other member countries,not serious,Zimbabwe